"code","wildcard","name","description","file_name","link","type",mode_play,"sub_link","image",view,play,vote,author_id,"publish_at"
NULL,"6ncdr","60 Nam Cuoc Doi (Remix)",NULL,"391.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"7lr","7 Ly Ruou",NULL,"25104.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"7dgl","7000 Dem Gop Lai",NULL,"257.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"7dgl","7000 Dem Gop Lai",NULL,"258.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"7dgl","7000 Dem Gop Lai",NULL,"259.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"7dgl","7000 Dem Gop Lai",NULL,"260.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"7dgl","7000 Dem Gop Lai",NULL,"261.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"7dgl","7000 Dem Gop Lai",NULL,"262.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"8v6n4lne","8 Van 6 Ngan 400 Lan Nho Em",NULL,"25105.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9tttlm","90 Trieu Trai Tim La Mot",NULL,"291.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9tttlm","90 Trieu Trai Tim La Mot",NULL,"542.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dhh","999 Doa Hoa Hong",NULL,"292.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dhh","999 Doa Hoa Hong",NULL,"293.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dhh","999 Doa Hoa Hong",NULL,"543.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dhh","999 Doa Hoa Hong",NULL,"544.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"266.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"267.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"268.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"269.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"270.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"294.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"295.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"317.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"545.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"546.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"547.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"7113.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"7114.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"7115.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"7116.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"7117.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"7118.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dh","999 Doa Hong",NULL,"10357.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"9dhr","999 Doa Hong (Remix)",NULL,"22646.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"aem","A Em Mo",NULL,"7119.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"apoy","A Part Of You",NULL,"7120.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"atm","A Thousand Miles",NULL,"22647.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"aty","A Thousand Years",NULL,"7121.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"atfu","A Time For Us",NULL,"22648.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"axyx","A Xieu Yeu Xa",NULL,"7122.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"a","ABC",NULL,"22649.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"al","About Love",NULL,"7123.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"aab","Above And Beyond",NULL,"7124.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"a","Abracadabra",NULL,"10358.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"am","Ac Mong",NULL,"548.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"amcngm","Ac Mong Cua Nhung Giac Mo",NULL,"549.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"ajctenpt","Adieu Jolie Candy (Tien Em Noi Phi Truong)",NULL,"550.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"ash","Adieu Sois Heureuse",NULL,"551.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"ab","Ai Biet",NULL,"22650.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"abnm","Ai Biet Ngay Mai",NULL,"552.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"abalt","Ai Bieu Anh Lam Thinh",NULL,"553.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"abalt","Ai biểu anh làm thinh",NULL,"288.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"abelt","Ai Bieu Em Lam Thinh",NULL,"22651.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"abha","Ai Buon Hon Ai",NULL,"554.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"abha","Ai Buon Hon Ai",NULL,"555.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"actty","Ai Cho Toi Tinh Yeu",NULL,"556.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"actty","Ai Cho Toi Tinh Yeu",NULL,"557.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"actty","Ai Cho Toi Tinh Yeu",NULL,"558.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"actty","Ai Cho Toi Tinh Yeu",NULL,"559.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"actty","Ai Cho Toi Tinh Yeu",NULL,"560.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"actty","Ai Cho Toi Tinh Yeu",NULL,"10359.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"acca","Ai Con Cho Ai",NULL,"22652.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adsg","Ai Den Sai Gon",NULL,"561.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adngs","Ai Di Ngoai Gio Suong",NULL,"562.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adnsg","Ai Di Ngoai Suong Gio",NULL,"563.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adnsg","Ai Di Ngoai Suong Gio",NULL,"564.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"addn","Ai Do Dem Nay",NULL,"22653.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adev","Ai Dua Em Ve",NULL,"565.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adev","Ai Dua Em Ve",NULL,"566.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adev","Ai Dua Em Ve",NULL,"567.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adev","Ai Dua Em Ve",NULL,"568.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adev","Ai Dua Em Ve",NULL,"10360.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"adevr","Ai Dua Em Ve (Remix)",NULL,"22654.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"aesytl","Ai Em Se Yeu That Long",NULL,"569.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"aesytl","Ai Em Se Yeu That Long",NULL,"22655.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"agbhakbd","Ai Giau Ba Ho Ai Kho Ba Doi",NULL,"570.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"ahcn","Ai Hay Chu Ngo",NULL,"571.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"572.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"573.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"574.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"575.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"576.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"577.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"578.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"579.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"580.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"581.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai Kho Vi Ai",NULL,"10361.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akva","Ai khổ vì ai",NULL,"238.mp4",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"akvatr","Ai Kho Vi Ai (The Remix)",NULL,"22659.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"alaca","Ai La Ai Cua Ai",NULL,"24931.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"alnay","Ai La Nguoi Anh Yeu",NULL,"582.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"alxhd","Ai Len Xu Hoa Dao",NULL,"583.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"alxhd","Ai Len Xu Hoa Dao",NULL,"584.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"alxhd","Ai Len Xu Hoa Dao",NULL,"585.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"alxhd","Ai Len Xu Hoa Dao",NULL,"586.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anh","Ai Nhanh Hon",NULL,"24932.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anca","Ai Nho Chang Ai",NULL,"587.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anca","Ai Nho Chang Ai",NULL,"588.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anca","Ai Nho Chang Ai",NULL,"589.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anca","Ai Nho Chang Ai",NULL,"590.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anca","Ai Nho Chang Ai",NULL,"591.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"andokk","Ai Noi Dan Ong Khong Khoc",NULL,"592.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anve","Ai Noi Voi Em",NULL,"593.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anve","Ai Noi Voi Em",NULL,"594.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anve","Ai Noi Voi Em",NULL,"595.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anve","Ai Noi Voi Em",NULL,"596.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anve","Ai Noi Voi Em",NULL,"597.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anve","Ai Noi Voi Em",NULL,"11124.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anyedn","Ai Noi Yeu Em Dem Nay",NULL,"598.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anyedn","Ai Noi Yeu Em Dem Nay",NULL,"599.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anyedn","Ai Noi Yeu Em Dem Nay",NULL,"600.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"anyedn","Ai Noi Yeu Em Dem Nay",NULL,"601.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arxh","Ai Ra Xu Hue",NULL,"602.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arxh","Ai Ra Xu Hue",NULL,"603.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arxh","Ai Ra Xu Hue",NULL,"604.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arxh","Ai Ra Xu Hue",NULL,"605.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arxh","Ai Ra Xu Hue",NULL,"606.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arxh","Ai Ra Xu Hue",NULL,"607.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arxh","Ai ra xứ Huế",NULL,"396.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arck","Ai Roi Cung Khac",NULL,"608.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"arck","Ai Roi Cung Khac",NULL,"609.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"as","Ai Sai",NULL,"610.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"asbt","Ai Se Biet Truoc",NULL,"611.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"asbt","Ai Se Biet Truoc",NULL,"632.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"asle","Ai Se La Em",NULL,"612.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"asye","Ai Se Yeu Em",NULL,"613.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"atye","Ai Thuong Yeu Em",NULL,"614.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"atye","Ai Thuong Yeu Em",NULL,"615.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"atye","Ai Thuong Yeu Em",NULL,"616.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"atye","ai thuong yeu em",NULL,"24933.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"atye","Ai thương yêu em",NULL,"397.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"at","Ai Tinh",NULL,"617.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"at","Ai Tinh",NULL,"618.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"atvxv","Ai Tro Ve Xu Viet",NULL,"619.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"avst","Ai Ve Song Tuong",NULL,"620.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"avst","Ai Ve Song Tuong",NULL,"621.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
NULL,"avst","Ai Ve Song Tuong",NULL,"622.mkv",NULL,"mp4",0,NULL,NULL,0,0,0,0,"2000-01-01 00:00:00"
